datetime,open,high,low,close,volume
2025-08-01 00:00:00,1.0850,1.0856,1.0847,1.0852,172
2025-08-01 00:15:00,1.0852,1.0859,1.0848,1.0857,141
2025-08-01 00:30:00,1.0857,1.0864,1.0851,1.0859,189
2025-08-01 00:45:00,1.0859,1.0865,1.0853,1.0862,162
2025-08-01 01:00:00,1.0862,1.0869,1.0858,1.0866,178
2025-08-01 01:15:00,1.0866,1.0873,1.0860,1.0870,153
2025-08-01 01:30:00,1.0870,1.0878,1.0864,1.0875,195
2025-08-01 01:45:00,1.0875,1.0882,1.0870,1.0879,168
2025-08-01 02:00:00,1.0879,1.0885,1.0872,1.0882,184
2025-08-01 02:15:00,1.0882,1.0889,1.0875,1.0886,172
